code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason
002352.SZ,顺丰控股,仓储物流,28,39,71.79,12.14,0.31,近39天资金净流入28天，累计净流入12.14万元
000651.SZ,格力电器,家用电器,24,39,61.54,10.04,0.26,近39天资金净流入24天，累计净流入10.04万元
002142.SZ,宁波银行,银行,25,39,64.1,10,0.26,近39天资金净流入25天，累计净流入10.0万元
300760.SZ,迈瑞医疗,医疗保健,28,39,71.79,9.06,0.23,近39天资金净流入28天，累计净流入9.06万元
601728.SH,中国电信,电信运营,24,39,61.54,7,0.18,近39天资金净流入24天，累计净流入7.0万元
601816.SH,京沪高铁,铁路,25,39,64.1,6.91,0.18,近39天资金净流入25天，累计净流入6.91万元
002311.SZ,海大集团,饲料,27,39,69.23,6.54,0.17,近39天资金净流入27天，累计净流入6.54万元
603119.SH,浙江荣泰,汽车配件,25,39,64.1,6.09,0.16,近39天资金净流入25天，累计净流入6.09万元
300567.SZ,精测电子,电器仪表,29,39,74.36,5.64,0.14,近39天资金净流入29天，累计净流入5.64万元
601998.SH,中信银行,银行,26,39,66.67,5.23,0.13,近39天资金净流入26天，累计净流入5.23万元
002558.SZ,巨人网络,互联网,24,39,61.54,3.24,0.08,近39天资金净流入24天，累计净流入3.24万元
603816.SH,顾家家居,家居用品,32,39,82.05,3.22,0.08,近39天资金净流入32天，累计净流入3.22万元
600745.SH,闻泰科技,半导体,24,39,61.54,3.22,0.08,近39天资金净流入24天，累计净流入3.22万元
688678.SH,福立旺,元器件,28,39,71.79,3.03,0.08,近39天资金净流入28天，累计净流入3.03万元
002353.SZ,杰瑞股份,化工机械,24,39,61.54,2.74,0.07,近39天资金净流入24天，累计净流入2.74万元
000425.SZ,徐工机械,工程机械,24,39,61.54,2.62,0.07,近39天资金净流入24天，累计净流入2.62万元
000096.SZ,广聚能源,石油贸易,27,39,69.23,2.54,0.07,近39天资金净流入27天，累计净流入2.54万元
