code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason,holders_decreased,holder_change_desc
002352.SZ,顺丰控股,仓储物流,44,60,73.33,23.38,0.39,近60天资金净流入44天，累计净流入23.38亿元,True,20250331较20250228: 减少11063户(6.18%)
300760.SZ,迈瑞医疗,医疗保健,37,60,61.67,9.42,0.16,近60天资金净流入37天，累计净流入9.42亿元,False,20250331较20241231: 增加9446户(11.42%)
603119.SH,浙江荣泰,汽车配件,38,60,63.33,9.31,0.16,近60天资金净流入38天，累计净流入9.31亿元,False,20250331较20241231: 增加5068户(33.81%)
300567.SZ,精测电子,电器仪表,43,60,71.67,8.75,0.15,近60天资金净流入43天，累计净流入8.75亿元,True,20250418较20250410: 减少212户(0.85%)
002558.SZ,巨人网络,互联网,37,60,61.67,3.63,0.06,近60天资金净流入37天，累计净流入3.63亿元,False,20250331较20250331: 增加0户(0.00%)
603816.SH,顾家家居,家居用品,43,60,71.67,2.87,0.05,近60天资金净流入43天，累计净流入2.87亿元,False,20250331较20241231: 增加272户(1.35%)
688678.SH,福立旺,元器件,41,60,68.33,2.9,0.05,近60天资金净流入41天，累计净流入2.9亿元,False,20250418较20250410: 增加136户(1.78%)
000096.SZ,广聚能源,石油贸易,43,60,71.67,4.23,0.07,近60天资金净流入43天，累计净流入4.23亿元,False,20250331较20250331: 增加0户(0.00%)
605088.SH,冠盛股份,汽车配件,38,60,63.33,3.85,0.06,近60天资金净流入38天，累计净流入3.85亿元,True,20250331较20250228: 减少774户(6.54%)
603565.SH,中谷物流,水运,39,60,65.0,2.45,0.04,近60天资金净流入39天，累计净流入2.45亿元,False,20250331较20250331: 增加96户(0.47%)
300553.SZ,集智股份,电器仪表,38,60,63.33,1.27,0.02,近60天资金净流入38天，累计净流入1.27亿元,False,20250331较20250331: 增加0户(0.00%)
603733.SH,仙鹤股份,造纸,44,60,73.33,2.32,0.04,近60天资金净流入44天，累计净流入2.32亿元,True,20250331较20241231: 减少4213户(20.52%)
003043.SZ,华亚智能,半导体,40,60,66.67,1.62,0.03,近60天资金净流入40天，累计净流入1.62亿元,True,20250410较20250331: 减少595户(5.06%)
601567.SH,三星医疗,电气设备,37,60,61.67,1.36,0.02,近60天资金净流入37天，累计净流入1.36亿元,True,20250331较20241231: 减少898户(5.20%)
688326.SH,经纬恒润-W,汽车配件,39,60,65.0,1.14,0.02,近60天资金净流入39天，累计净流入1.14亿元,False,20250331较20241231: 增加1100户(17.70%)
605128.SH,上海沿浦,汽车配件,37,60,61.67,1.27,0.02,近60天资金净流入37天，累计净流入1.27亿元,False,20250331较20250228: 增加553户(7.87%)
603885.SH,吉祥航空,空运,40,60,66.67,2.02,0.03,近60天资金净流入40天，累计净流入2.02亿元,False,20250331较20250331: 增加0户(0.00%)
002203.SZ,海亮股份,铜,38,60,63.33,0.98,0.02,近60天资金净流入38天，累计净流入0.98亿元,False,20250331较20241231: 增加2672户(15.45%)
688621.SH,阳光诺和,医疗保健,35,56,62.5,1.59,0.03,近56天资金净流入35天，累计净流入1.59亿元,False,20250331较20250331: 增加0户(0.00%)
688059.SH,华锐精密,机械基件,42,60,70.0,1.18,0.02,近60天资金净流入42天，累计净流入1.18亿元,True,20250331较20241231: 减少236户(5.48%)
688212.SH,澳华内镜,医疗保健,37,60,61.67,0.48,0.01,近60天资金净流入37天，累计净流入0.48亿元,False,20250331较20250331: 增加0户(0.00%)
601992.SH,金隅集团,水泥,40,60,66.67,0.62,0.01,近60天资金净流入40天，累计净流入0.62亿元,True,20250331较20250228: 减少1318户(1.18%)
600269.SH,赣粤高速,路桥,39,60,65.0,0.97,0.02,近60天资金净流入39天，累计净流入0.97亿元,False,20250331较20250228: 增加168户(0.33%)
688509.SH,正元地信,软件服务,37,60,61.67,0.18,0.0,近60天资金净流入37天，累计净流入0.18亿元,True,20250331较20241231: 减少704户(5.17%)
603879.SH,ST永悦,化工原料,37,59,62.71,0.03,0.0,近59天资金净流入37天，累计净流入0.03亿元,False,20250331较20250331: 增加0户(0.00%)
